Rover ID,Latitude,Longitude,Timestamp
relate,"-16° -46' -51.19"" N","6° 37' 51.65"" E",2023-10-10 07:39:13
set,"-28° -28' -33.10"" N","158° 22' 44.63"" E",2023-11-29 19:13:56
onto,"-24° -15' -23.78"" N","-75° -34' -30.47"" E",2023-08-20 23:18:36
from,"12° 4' 22.57"" N","-168° -17' -49.70"" E",2023-03-21 16:04:10
yes,"-84° -36' -28.13"" N","64° 50' 53.64"" E",2023-08-26 02:55:36
arrive,"-30° -33' -0.99"" N","-110° -56' -59.36"" E",2023-12-31 04:12:45
life,"65° 5' 19.60"" N","-167° -40' -3.00"" E",2023-08-04 21:24:55
almost,"2° 37' 24.84"" N","140° 6' 47.07"" E",2023-10-07 19:04:26
with,"-3° -5' -37.49"" N","-56° -55' -40.01"" E",2023-12-28 21:09:34
across,"-31° -40' -6.11"" N","143° 54' 41.93"" E",2023-06-02 02:09:30
play,"47° 18' 38.07"" N","8° 47' 0.15"" E",2023-01-17 09:30:50
our,"-84° -26' -53.00"" N","-176° -30' -55.11"" E",2023-10-19 16:20:46
will,"79° 34' 25.64"" N","146° 39' 9.13"" E",2023-03-25 20:21:23
century,"48° 25' 0.27"" N","-160° -27' -24.49"" E",2023-05-04 20:15:24
process,"65° 52' 44.57"" N","98° 5' 5.56"" E",2023-05-09 01:33:00
return,"-86° -46' -29.40"" N","174° 52' 4.35"" E",2023-09-04 17:26:13
civil,"68° 37' 13.77"" N","-44° -43' -3.30"" E",2023-11-17 13:37:21
door,"-3° -12' -44.82"" N","-50° -34' -17.48"" E",2023-06-14 06:57:35
think,"10° 2' 5.79"" N","160° 7' 42.51"" E",2023-11-27 15:34:25
thousand,"-36° -29' -22.51"" N","0° -36' -34.84"" E",2023-04-18 16:39:22
just,"-67° -8' -53.49"" N","-4° -29' -13.06"" E",2023-03-14 05:46:30
nature,"-44° -15' -17.16"" N","136° 43' 5.70"" E",2023-05-08 21:47:07
skin,"-61° -32' -28.93"" N","15° 2' 42.67"" E",2023-04-10 14:48:45
director,"62° 16' 56.62"" N","115° 10' 1.30"" E",2023-04-30 05:28:12
myself,"-56° -30' -19.19"" N","-149° -42' -11.77"" E",2023-02-12 01:54:37
build,"-66° -39' -48.04"" N","-47° -11' -32.62"" E",2023-04-25 03:40:30
class,"5° 32' 33.21"" N","110° 4' 6.29"" E",2023-11-02 06:26:30
ready,"-23° -16' -42.44"" N","72° 10' 30.93"" E",2023-07-21 11:23:52
take,"28° 20' 29.39"" N","3° 39' 40.93"" E",2023-12-28 08:41:07
member,"82° 24' 38.53"" N","-43° -44' -5.17"" E",2023-01-13 05:49:01
writer,"53° 2' 15.17"" N","-63° -10' -41.16"" E",2023-02-15 19:18:03
home,"-65° -19' -33.45"" N","129° 34' 8.65"" E",2023-03-31 09:43:30
structure,"-63° -26' -39.53"" N","-176° -26' -56.55"" E",2023-04-13 02:00:14
magazine,"0° -40' -21.21"" N","-158° -20' -11.85"" E",2023-08-28 19:36:15
risk,"83° 56' 29.23"" N","179° 26' 38.04"" E",2023-05-27 19:58:24
fact,"0° -31' -9.06"" N","49° 21' 40.43"" E",2023-02-05 20:25:03
population,"-77° -8' -24.54"" N","73° 3' 57.60"" E",2023-05-29 01:27:30
program,"29° 12' 38.14"" N","141° 5' 26.91"" E",2023-09-12 10:45:33
town,"-83° -44' -9.75"" N","167° 3' 0.81"" E",2023-10-22 14:02:46
why,"36° 13' 41.55"" N","18° 6' 44.02"" E",2023-02-22 06:59:53
economic,"45° 14' 50.07"" N","90° 19' 20.31"" E",2023-10-06 02:21:47
reflect,"-72° -22' -33.03"" N","-54° -22' -50.28"" E",2023-11-20 08:59:17
finish,"45° 46' 46.60"" N","-121° -54' -10.27"" E",2023-04-23 02:04:46
coach,"-20° -3' -17.37"" N","-77° -29' -59.55"" E",2023-01-01 21:07:39
difficult,"-50° -58' -6.26"" N","-88° -41' -29.97"" E",2023-01-19 06:41:36
song,"-4° -23' -44.10"" N","92° 40' 21.57"" E",2023-04-14 11:17:07
interview,"-14° -50' -50.11"" N","69° 2' 26.53"" E",2023-02-25 01:51:31
still,"2° 14' 21.63"" N","88° 33' 59.25"" E",2023-01-07 18:43:34
training,"-89° -1' -9.31"" N","-39° -13' -58.96"" E",2023-05-09 00:08:09
believe,"-45° -14' -48.13"" N","133° 10' 42.19"" E",2023-03-29 22:16:54
yet,"7° 6' 49.38"" N","101° 49' 17.15"" E",2023-09-15 09:13:12
word,"80° 30' 2.35"" N","-58° -37' -33.30"" E",2023-07-22 10:02:02
cold,"54° 11' 47.26"" N","-149° -20' -45.06"" E",2023-12-18 11:10:49
probably,"-83° -34' -31.17"" N","-30° -3' -4.86"" E",2023-10-05 23:55:34
show,"69° 0' 28.32"" N","82° 2' 28.02"" E",2023-07-26 00:29:10
also,"80° 6' 50.76"" N","122° 41' 18.97"" E",2023-05-06 01:01:21
sure,"44° 46' 49.07"" N","25° 5' 30.98"" E",2023-05-14 11:46:52
huge,"63° 38' 18.48"" N","154° 27' 15.87"" E",2023-05-01 17:52:56
instead,"-8° -15' -51.25"" N","102° 13' 15.15"" E",2023-07-23 06:22:23
family,"19° 45' 43.42"" N","-113° -10' -45.49"" E",2023-02-15 01:53:32
under,"44° 19' 51.40"" N","127° 19' 25.26"" E",2023-11-11 06:21:08
upon,"-82° -5' -50.56"" N","81° 21' 48.72"" E",2023-06-08 01:48:17
national,"76° 8' 48.48"" N","-55° -40' -7.18"" E",2023-02-05 17:16:53
cost,"88° 34' 0.95"" N","20° 41' 7.25"" E",2023-05-21 07:38:51
you,"-5° -49' -37.20"" N","92° 11' 29.05"" E",2023-04-21 08:26:16
fill,"-13° -56' -0.42"" N","-135° -34' -39.55"" E",2023-08-12 17:54:20
agreement,"-45° -59' -0.43"" N","-31° -27' -53.22"" E",2023-06-28 12:35:59
option,"-35° -29' -48.84"" N","-91° -26' -59.29"" E",2023-12-29 10:18:09
imagine,"70° 13' 5.11"" N","-169° -19' -2.65"" E",2023-04-22 09:04:41
class,"-29° -35' -47.40"" N","-100° -45' -2.54"" E",2023-08-09 08:31:44
exactly,"81° 34' 38.92"" N","134° 5' 10.90"" E",2023-01-28 17:32:24
operation,"49° 48' 7.94"" N","35° 18' 41.95"" E",2023-10-12 05:27:00
clearly,"16° 45' 39.50"" N","111° 26' 46.98"" E",2023-11-10 09:06:57
officer,"34° 48' 8.46"" N","136° 47' 1.16"" E",2023-07-28 08:24:26
hotel,"26° 11' 15.89"" N","7° 57' 57.12"" E",2023-05-13 04:12:59
part,"11° 28' 28.40"" N","105° 4' 43.17"" E",2023-06-01 14:38:43
thousand,"-35° -36' -38.93"" N","133° 20' 30.74"" E",2023-05-01 10:04:41
push,"-43° -32' -7.67"" N","-135° -57' -44.79"" E",2023-12-31 22:01:03
