Rover ID,Latitude,Longitude,Timestamp
poor,"-78° -56' -11.71"" N","176° 56' 33.57"" E",2023-08-03 00:43:45
feel,"-13° -24' -15.08"" N","-133° -10' -24.63"" E",2023-03-20 02:37:46
rest,"-19° -39' -38.30"" N","-19° -39' -23.01"" E",2023-11-18 23:30:44
one,"49° 22' 22.84"" N","-134° -28' -21.50"" E",2023-10-22 10:49:58
laugh,"-7° -10' -59.06"" N","-117° -5' -11.40"" E",2023-07-23 04:18:56
or,"-20° -49' -0.92"" N","90° 4' 17.43"" E",2023-01-02 23:25:00
education,"1° 14' 55.22"" N","-45° -14' -37.73"" E",2023-11-17 21:59:04
total,"29° 55' 7.94"" N","-112° -45' -41.75"" E",2023-07-16 11:01:01
body,"-61° -14' -20.26"" N","-19° -21' -20.73"" E",2023-04-16 01:22:06
finish,"85° 16' 15.74"" N","179° 11' 21.60"" E",2023-05-21 13:33:18
style,"38° 30' 29.31"" N","95° 0' 36.90"" E",2023-03-13 05:58:11
put,"21° 29' 20.64"" N","-120° -44' -36.99"" E",2023-01-13 03:13:50
choose,"-41° -14' -26.83"" N","-86° -46' -5.00"" E",2023-09-12 14:39:12
act,"-2° -53' -10.54"" N","-122° -34' -13.70"" E",2023-09-06 02:22:48
occur,"74° 11' 48.27"" N","41° 32' 2.95"" E",2023-12-12 07:20:06
girl,"67° 27' 25.11"" N","112° 39' 39.46"" E",2023-06-17 07:50:48
across,"0° -19' -42.26"" N","-90° -39' -42.04"" E",2023-06-18 04:32:52
girl,"-33° -34' -31.04"" N","154° 14' 23.25"" E",2023-09-24 12:39:14
too,"-89° -6' -1.91"" N","27° 26' 42.14"" E",2023-09-01 21:42:45
from,"77° 6' 48.50"" N","-168° -19' -5.33"" E",2023-02-21 14:02:32
organization,"-50° -8' -16.37"" N","77° 50' 49.03"" E",2023-12-21 16:44:13
event,"-50° -51' -57.97"" N","-66° -35' -24.18"" E",2023-12-28 10:51:59
seven,"-15° -32' -59.72"" N","106° 43' 46.41"" E",2023-12-11 01:39:49
century,"10° 53' 28.61"" N","128° 31' 22.37"" E",2023-03-02 13:08:08
local,"-38° -37' -36.87"" N","-121° -9' -43.51"" E",2023-10-12 11:29:37
very,"-36° -38' -42.77"" N","-89° -55' -17.30"" E",2023-05-23 10:28:44
back,"76° 50' 11.03"" N","51° 2' 57.96"" E",2023-03-08 10:28:52
shoulder,"61° 54' 47.12"" N","18° 54' 56.49"" E",2023-02-25 11:31:19
toward,"-3° -55' -55.07"" N","122° 13' 8.16"" E",2023-11-24 04:12:29
moment,"-74° -1' -42.29"" N","-151° -3' -47.34"" E",2023-04-14 14:11:29
look,"67° 38' 58.57"" N","74° 1' 12.64"" E",2023-01-18 07:59:48
trade,"52° 44' 43.23"" N","-94° -3' -8.05"" E",2023-05-04 14:08:47
argue,"49° 22' 2.81"" N","-128° -7' -49.61"" E",2023-03-06 05:22:49
concern,"16° 9' 15.42"" N","-99° -28' -20.01"" E",2023-04-25 17:29:54
thank,"-76° -55' -30.04"" N","-71° -11' -44.51"" E",2023-05-29 09:19:23
stage,"58° 20' 2.12"" N","174° 34' 20.42"" E",2023-06-05 02:19:55
think,"59° 38' 10.18"" N","35° 42' 29.94"" E",2023-05-08 07:28:44
blue,"-76° -18' -14.93"" N","168° 40' 44.96"" E",2023-06-12 08:22:13
relationship,"7° 23' 18.53"" N","168° 26' 37.75"" E",2023-09-22 03:31:56
why,"20° 38' 47.64"" N","-77° -5' -2.60"" E",2023-06-25 13:07:15
defense,"-45° -41' -12.53"" N","-67° -43' -32.51"" E",2023-03-07 07:26:47
indicate,"47° 1' 53.13"" N","1° 40' 43.34"" E",2023-05-29 00:42:53
without,"-23° -22' -55.42"" N","-77° -30' -29.24"" E",2023-08-21 10:01:17
stop,"-29° -22' -35.05"" N","127° 1' 44.71"" E",2023-07-24 15:27:31
design,"26° 32' 33.09"" N","-50° -46' -14.35"" E",2023-01-22 12:17:51
address,"-43° -5' -15.98"" N","124° 0' 57.41"" E",2023-09-19 01:15:26
together,"-80° -14' -28.02"" N","-20° -14' -13.25"" E",2023-12-22 18:24:55
appear,"42° 47' 55.80"" N","-125° 0' -27.15"" E",2023-07-30 23:10:08
here,"36° 31' 20.33"" N","-83° -21' -22.50"" E",2023-05-26 03:41:36
present,"74° 40' 53.03"" N","35° 57' 29.55"" E",2023-05-14 04:54:01
build,"-53° -43' -58.21"" N","127° 14' 50.63"" E",2023-06-04 02:41:18
writer,"79° 46' 4.54"" N","64° 31' 25.03"" E",2023-11-08 12:06:49
music,"40° 29' 4.53"" N","-110° -11' -55.08"" E",2023-09-01 14:00:58
trade,"87° 21' 12.61"" N","-145° -25' -13.31"" E",2023-12-27 07:28:55
southern,"-16° -6' -9.15"" N","61° 48' 12.56"" E",2023-04-09 10:56:51
north,"26° 49' 11.02"" N","106° 45' 19.77"" E",2023-05-25 11:39:11
increase,"-75° -9' -53.22"" N","-77° -14' -23.31"" E",2023-07-14 07:58:12
charge,"-29° -56' -17.80"" N","142° 38' 37.44"" E",2023-12-10 07:21:14
become,"-21° -41' -20.82"" N","0° 27' 9.87"" E",2023-10-15 16:47:47
trouble,"15° 18' 41.93"" N","14° 21' 12.37"" E",2023-02-14 17:21:34
newspaper,"79° 6' 22.52"" N","-177° -13' -27.98"" E",2023-05-25 08:39:51
score,"8° 13' 30.48"" N","12° 43' 36.66"" E",2023-01-05 05:50:15
and,"-11° -10' -45.49"" N","-60° -7' -7.01"" E",2023-05-21 07:04:17
though,"-31° -17' -58.19"" N","-122° -50' -30.56"" E",2023-06-06 19:35:19
image,"46° 46' 5.11"" N","-22° -52' -23.68"" E",2023-12-14 17:23:37
growth,"72° 29' 39.20"" N","16° 11' 53.01"" E",2023-01-07 18:39:11
learn,"-84° -54' -33.75"" N","-92° -37' -30.27"" E",2023-12-23 20:11:23
quite,"82° 2' 0.52"" N","123° 47' 57.88"" E",2023-11-08 04:17:36
wrong,"-32° -59' -23.13"" N","47° 14' 40.25"" E",2023-05-14 21:41:00
leg,"-31° -53' -16.13"" N","-117° -38' -4.24"" E",2023-06-03 09:01:31
woman,"-17° -47' -41.96"" N","54° 45' 45.40"" E",2023-07-31 11:46:16
fill,"-74° -21' -19.00"" N","-12° -25' -18.13"" E",2023-10-05 22:33:17
everything,"-45° -33' -4.84"" N","40° 42' 46.67"" E",2023-10-29 10:38:29
life,"-82° -37' -32.04"" N","14° 5' 32.08"" E",2023-04-04 08:18:37
central,"-3° -56' -52.55"" N","11° 51' 23.52"" E",2023-02-05 16:07:24
figure,"21° 30' 54.22"" N","-107° -35' -3.44"" E",2023-02-07 06:37:10
several,"-42° -5' -34.05"" N","-160° -41' -47.81"" E",2023-07-28 13:02:46
decade,"45° 41' 41.45"" N","-159° -31' -33.85"" E",2023-06-21 06:12:07
bank,"4° 12' 26.27"" N","-157° -1' -39.91"" E",2023-03-16 17:36:57
student,"20° 32' 26.44"" N","-154° -36' -2.03"" E",2023-10-08 18:54:43
water,"87° 1' 13.48"" N","-153° -9' -41.03"" E",2023-03-08 09:55:23
stock,"-27° -4' -10.80"" N","-150° -50' -42.19"" E",2023-05-28 13:49:28
analysis,"-79° -21' -57.28"" N","37° 6' 4.87"" E",2023-10-07 17:30:02
sit,"-67° -42' -6.64"" N","15° 9' 33.76"" E",2023-03-31 16:22:11
particularly,"66° 46' 28.55"" N","-68° -55' -47.33"" E",2023-03-22 06:18:38
member,"-31° -21' -1.36"" N","-20° -33' -26.82"" E",2023-05-05 15:58:09
approach,"-82° -44' -18.31"" N","-24° -9' -53.03"" E",2023-03-03 20:49:46
positive,"44° 32' 8.63"" N","160° 4' 53.36"" E",2023-12-19 03:18:21
same,"-41° -34' -49.83"" N","-5° -26' -15.19"" E",2023-07-28 16:36:33
concern,"-60° -45' -4.60"" N","-70° -35' -44.85"" E",2023-11-19 18:31:01
side,"-61° -11' -0.69"" N","71° 14' 17.66"" E",2023-09-27 02:37:49
walk,"40° 21' 47.66"" N","44° 48' 21.55"" E",2023-07-03 19:06:48
look,"13° 39' 56.21"" N","118° 7' 40.33"" E",2023-01-24 11:33:22
fine,"31° 16' 2.24"" N","-145° -38' -0.85"" E",2023-01-22 20:35:19
truth,"-53° -38' -36.88"" N","-166° -41' -28.85"" E",2023-07-21 17:55:14
pressure,"52° 48' 15.00"" N","169° 22' 8.97"" E",2023-10-19 00:41:10
would,"43° 33' 8.13"" N","154° 49' 37.39"" E",2023-10-20 01:01:30
author,"3° 49' 26.98"" N","-88° -26' -13.41"" E",2023-08-11 04:24:29
night,"41° 12' 24.45"" N","-57° -17' -47.89"" E",2023-08-11 04:48:52
me,"-71° -30' -5.22"" N","-98° -27' -32.62"" E",2023-11-08 16:34:22
American,"-23° -17' -29.55"" N","-79° -9' -28.93"" E",2023-05-15 00:26:09
throw,"-83° -49' -45.80"" N","20° 56' 18.47"" E",2023-12-14 01:14:13
at,"79° 6' 39.56"" N","-154° -51' -50.67"" E",2023-02-09 01:38:51
believe,"-85° -50' -24.08"" N","91° 25' 31.18"" E",2023-09-07 07:32:21
operation,"-4° -7' -33.51"" N","-1° -44' -21.87"" E",2023-09-13 05:14:50
ask,"15° 45' 48.35"" N","-16° -43' -22.81"" E",2023-08-29 14:09:12
attention,"-21° -8' -18.49"" N","-165° -21' -19.45"" E",2023-03-22 00:52:00
politics,"81° 26' 48.81"" N","35° 12' 30.45"" E",2023-05-05 01:42:54
wall,"22° 26' 23.74"" N","-8° -50' -36.99"" E",2023-09-17 17:33:51
not,"-86° -15' -15.43"" N","-85° -42' -49.70"" E",2023-10-24 14:23:39
if,"67° 44' 0.39"" N","137° 41' 23.60"" E",2023-07-19 15:41:09
approach,"-69° -47' -19.45"" N","59° 51' 58.32"" E",2023-04-04 07:45:26
yes,"83° 51' 4.05"" N","-53° -36' -32.74"" E",2023-11-10 22:56:02
middle,"-65° -13' -49.64"" N","112° 27' 8.28"" E",2023-10-22 04:24:06
fast,"-16° -46' -43.53"" N","44° 7' 35.69"" E",2023-09-11 16:25:27
pick,"-61° -16' -38.29"" N","-16° -52' -58.65"" E",2023-09-21 02:03:55
cause,"84° 54' 35.37"" N","-91° -6' -32.12"" E",2023-10-09 20:29:13
dark,"-13° -2' -13.12"" N","-47° -12' -50.33"" E",2023-02-24 12:19:47
list,"21° 50' 52.77"" N","144° 12' 39.99"" E",2023-08-20 11:16:20
his,"48° 19' 53.85"" N","-161° -32' -28.36"" E",2023-02-27 21:43:55
base,"81° 22' 20.12"" N","-19° -26' -15.96"" E",2023-03-30 14:43:05
measure,"-75° -18' -38.13"" N","167° 37' 39.66"" E",2023-08-16 10:21:38
surface,"32° 6' 2.42"" N","92° 55' 8.05"" E",2023-07-17 08:19:59
matter,"36° 6' 40.63"" N","101° 13' 59.22"" E",2023-03-14 04:43:37
music,"-72° -13' -18.20"" N","-141° -59' -54.93"" E",2023-12-19 22:34:42
even,"87° 28' 3.85"" N","67° 6' 31.96"" E",2023-05-16 10:15:52
best,"8° 19' 59.96"" N","131° 29' 6.00"" E",2023-02-27 06:05:20
such,"76° 58' 3.98"" N","28° 16' 26.05"" E",2023-06-04 18:08:40
life,"49° 8' 41.69"" N","28° 57' 34.15"" E",2023-10-17 00:13:35
as,"-62° -30' -40.08"" N","-23° -25' -48.76"" E",2023-08-13 10:41:45
risk,"-60° -26' -34.17"" N","-61° -52' -29.61"" E",2023-02-10 04:54:13
garden,"68° 11' 44.48"" N","109° 54' 17.48"" E",2023-02-19 12:24:42
allow,"-9° -4' -38.91"" N","68° 14' 22.90"" E",2023-12-26 22:49:58
employee,"68° 45' 14.98"" N","101° 52' 41.02"" E",2023-01-16 07:25:40
lose,"19° 11' 8.24"" N","16° 55' 57.00"" E",2023-08-26 11:31:33
beautiful,"33° 55' 22.35"" N","61° 43' 53.22"" E",2023-11-03 19:08:10
she,"-83° -47' -15.52"" N","171° 36' 31.00"" E",2023-02-11 03:47:33
conference,"-86° -12' -33.23"" N","-40° -23' -20.97"" E",2023-05-24 18:10:50
investment,"-51° -2' -46.37"" N","52° 37' 4.62"" E",2023-11-13 02:12:35
myself,"-26° -37' -23.57"" N","8° 17' 47.86"" E",2023-02-28 12:43:03
south,"77° 11' 6.12"" N","-140° -57' -49.42"" E",2023-08-26 14:15:29
role,"4° 49' 27.76"" N","132° 18' 45.27"" E",2023-01-30 00:36:00
board,"48° 15' 39.21"" N","-60° -2' -17.84"" E",2023-08-04 07:26:41
carry,"-5° -11' -16.53"" N","-29° -49' -17.93"" E",2023-07-26 12:07:18
nothing,"57° 23' 18.71"" N","-32° -21' -41.37"" E",2023-09-23 21:39:36
group,"20° 7' 56.05"" N","-160° -35' -33.14"" E",2023-05-02 17:48:04
machine,"16° 25' 56.90"" N","74° 26' 10.19"" E",2023-08-30 02:25:55
couple,"-2° -27' -55.36"" N","175° 8' 33.66"" E",2023-03-02 12:42:37
best,"76° 23' 32.82"" N","82° 42' 50.15"" E",2023-09-07 11:38:47
week,"-81° -17' -48.17"" N","-108° -44' -54.79"" E",2023-01-21 07:01:20
us,"-61° -35' -38.34"" N","-167° -22' -2.57"" E",2023-11-24 20:10:09
pay,"22° 9' 20.21"" N","-79° -37' -38.89"" E",2023-01-05 03:35:00
color,"-13° -48' -18.48"" N","-93° -46' -41.22"" E",2023-04-06 17:41:40
own,"68° 26' 52.44"" N","4° 2' 39.65"" E",2023-06-28 20:59:06
though,"33° 39' 57.84"" N","86° 57' 59.87"" E",2023-05-12 23:35:19
happy,"-89° -46' -33.88"" N","152° 24' 3.90"" E",2023-03-08 03:46:56
street,"46° 32' 50.62"" N","71° 25' 48.92"" E",2023-07-25 16:25:34
enough,"79° 29' 32.31"" N","-97° -10' -23.45"" E",2023-12-01 20:15:24
check,"-22° -18' -12.11"" N","-86° -41' -59.33"" E",2023-06-11 10:19:56
now,"-80° -25' -36.80"" N","0° 49' 54.99"" E",2023-09-21 07:22:07
scientist,"-81° -27' -28.26"" N","-120° -7' -34.86"" E",2023-07-04 21:38:04
speech,"-49° -49' -33.88"" N","-109° -25' -19.17"" E",2023-06-10 14:23:42
Mr,"81° 18' 42.15"" N","64° 53' 43.47"" E",2023-04-05 23:13:28
nation,"-79° -35' -40.82"" N","-12° -42' -26.15"" E",2023-12-28 01:56:16
offer,"-79° -5' -22.78"" N","-139° -30' -19.84"" E",2023-04-13 17:48:25
work,"83° 20' 47.55"" N","146° 45' 8.72"" E",2023-05-07 15:16:33
administration,"7° 33' 37.88"" N","145° 22' 28.59"" E",2023-12-15 18:03:50
early,"-55° -50' -59.89"" N","-131° -9' -30.06"" E",2023-10-23 13:52:36
none,"46° 55' 19.06"" N","17° 53' 18.61"" E",2023-07-21 09:40:13
of,"-6° -10' -56.89"" N","69° 17' 42.81"" E",2023-09-11 07:05:55
government,"-16° -42' -53.88"" N","30° 23' 43.65"" E",2023-05-23 22:04:29
success,"19° 34' 41.38"" N","-57° -47' -7.58"" E",2023-09-25 14:31:18
movie,"-17° -52' -14.89"" N","-133° -33' -49.05"" E",2023-04-18 07:29:41
although,"-42° -45' -43.61"" N","-118° -19' -37.46"" E",2023-12-05 19:24:36
control,"56° 55' 50.11"" N","94° 3' 19.23"" E",2023-01-26 17:12:06
role,"-39° -1' -32.37"" N","-178° -57' -37.29"" E",2023-06-11 01:38:16
civil,"-60° -57' -0.65"" N","114° 35' 43.36"" E",2023-09-15 05:07:16
base,"-50° -15' -17.61"" N","46° 10' 14.53"" E",2023-03-24 17:11:25
she,"13° 31' 13.71"" N","-51° -52' -47.47"" E",2023-07-12 12:24:05
live,"-54° -31' -50.70"" N","155° 11' 57.25"" E",2023-09-30 10:54:17
build,"-68° -14' -14.25"" N","85° 25' 50.40"" E",2023-03-27 03:55:21
nothing,"-14° -1' -50.48"" N","78° 23' 14.93"" E",2023-01-26 13:55:27
apply,"48° 3' 44.30"" N","73° 56' 28.57"" E",2023-11-07 21:00:25
think,"68° 53' 43.70"" N","-63° -10' -51.25"" E",2023-05-05 13:58:34
force,"-73° -55' -28.54"" N","29° 24' 36.51"" E",2023-12-23 23:16:32
situation,"68° 39' 28.73"" N","65° 23' 55.15"" E",2023-12-28 21:42:52
else,"62° 34' 55.28"" N","108° 55' 17.14"" E",2023-09-13 18:09:28
campaign,"2° 16' 50.36"" N","-157° -14' -53.81"" E",2023-04-14 17:44:14
choice,"40° 9' 8.61"" N","-46° -58' -11.82"" E",2023-06-01 23:25:02
especially,"72° 16' 28.16"" N","-153° -18' -31.06"" E",2023-09-24 19:14:47
vote,"8° 44' 45.17"" N","-53° -17' -14.92"" E",2023-04-19 09:21:24
media,"-56° -17' -49.73"" N","161° 10' 35.32"" E",2023-10-23 10:33:17
hope,"-56° -22' -35.08"" N","167° 15' 31.40"" E",2023-08-24 17:49:10
word,"30° 1' 15.11"" N","-32° -46' -24.30"" E",2023-08-31 02:15:52
too,"77° 33' 30.74"" N","106° 7' 58.68"" E",2023-11-01 02:53:33
former,"-70° -59' -27.97"" N","-117° -40' -48.22"" E",2023-10-06 11:58:49
go,"-82° -22' -10.35"" N","-93° -32' -26.94"" E",2023-07-04 22:42:09
anything,"-22° -21' -25.79"" N","99° 27' 14.00"" E",2023-04-26 00:32:50
although,"-37° -39' -24.72"" N","130° 53' 31.58"" E",2023-04-02 07:47:43
this,"53° 40' 52.74"" N","66° 1' 25.15"" E",2023-01-29 16:03:39
word,"13° 58' 28.74"" N","80° 48' 44.36"" E",2023-01-26 18:41:58
building,"34° 2' 40.30"" N","-3° -36' -9.50"" E",2023-02-25 15:45:41
yes,"53° 25' 30.33"" N","-70° -1' -45.00"" E",2023-06-26 15:20:47
training,"68° 53' 57.05"" N","-46° -1' -7.26"" E",2023-12-24 20:51:39
best,"8° 16' 41.46"" N","53° 6' 15.29"" E",2023-08-18 17:32:32
physical,"89° 7' 45.44"" N","127° 10' 45.37"" E",2023-11-28 00:54:05
particularly,"-59° -27' -21.59"" N","107° 52' 46.69"" E",2023-01-04 06:32:23
ahead,"-81° -14' -59.46"" N","-21° -1' -43.66"" E",2023-02-10 11:14:16
